Country,ageGroup,Mean_CO2.g
Austria,Adults,3503.2895772548472
Austria,Elderly,3203.988081710686
Austria,Very elderly,3445.09175614571
Austria,Other children,1988.1502298259697
Austria,Adolescents,1600.328132853137
Austria,Toddlers,0.0
Austria,Infants,0.0
Austria,Lactating women,0.0
Austria,Pregnant women,0.0
Belgium,Adults,4670.709389722902
Belgium,Elderly,5573.136579111965
Belgium,Very elderly,5096.651001854068
Belgium,Other children,1324.5724054813195
Belgium,Adolescents,2063.54909136953
Belgium,Toddlers,1422.516797979874
Belgium,Infants,0.0
Belgium,Lactating women,0.0
Belgium,Pregnant women,0.0
Bulgaria,Adults,0.0
Bulgaria,Elderly,0.0
Bulgaria,Very elderly,0.0
Bulgaria,Other children,1291.4302881207975
Bulgaria,Adolescents,0.0
Bulgaria,Toddlers,1103.4367633387346
Bulgaria,Infants,408.274170156032
Bulgaria,Lactating women,0.0
Bulgaria,Pregnant women,0.0
Cyprus,Adults,0.0
Cyprus,Elderly,0.0
Cyprus,Very elderly,0.0
Cyprus,Other children,0.0
Cyprus,Adolescents,1285.6429257361744
Cyprus,Toddlers,0.0
Cyprus,Infants,0.0
Cyprus,Lactating women,0.0
Cyprus,Pregnant women,0.0
Czech Republic,Adults,2406.1650221012055
Czech Republic,Elderly,0.0
Czech Republic,Very elderly,0.0
Czech Republic,Other children,1726.0623348627555
Czech Republic,Adolescents,2311.150630947016
Czech Republic,Toddlers,0.0
Czech Republic,Infants,0.0
Czech Republic,Lactating women,0.0
Czech Republic,Pregnant women,0.0
Germany,Adults,5496.2554978951575
Germany,Elderly,5485.847352136872
Germany,Very elderly,4864.178148365047
Germany,Other children,4278.436550074948
Germany,Adolescents,3968.891063183797
Germany,Toddlers,2002.1897586917962
Germany,Infants,726.9360948490267
Germany,Lactating women,0.0
Germany,Pregnant women,0.0
Denmark,Adults,15392.401385738973
Denmark,Elderly,16703.568317304696
Denmark,Very elderly,16636.74808678091
Denmark,Other children,3824.158653398313
Denmark,Adolescents,4318.486733137898
Denmark,Toddlers,1262.1802483345878
Denmark,Infants,872.6694659565034
Denmark,Lactating women,0.0
Denmark,Pregnant women,0.0
Spain,Adults,5215.333138267697
Spain,Elderly,0.0
Spain,Very elderly,0.0
Spain,Other children,3048.652133151381
Spain,Adolescents,6566.018569166252
Spain,Toddlers,1253.9412709709686
Spain,Infants,0.0
Spain,Lactating women,0.0
Spain,Pregnant women,0.0
Finland,Adults,12370.234432024014
Finland,Elderly,10678.995968357554
Finland,Very elderly,0.0
Finland,Other children,4612.18762181926
Finland,Adolescents,2314.4322763157484
Finland,Toddlers,2011.5649526679645
Finland,Infants,427.83577944418766
Finland,Lactating women,0.0
Finland,Pregnant women,0.0
France,Adults,4171.1202084619235
France,Elderly,3902.674559551364
France,Very elderly,3529.4587330831982
France,Other children,1544.03790055959
France,Adolescents,1892.6930189409643
France,Toddlers,0.0
France,Infants,0.0
