"Country","Pop_Class","Food","FoodId","Nr_Consumer","Mean"
"Austria","Adults","banana","1","105","108.928571428571"
"Austria","Adults","apple","3","213","131.306338028169"
"Austria","Adults","apricot","4","7","53.2142857142857"
"Austria","Adults","artichokes","5","2","101.5"
"Austria","Adults","asparagus","6","4","53.25"
"Austria","Adults","avocado","7","3","63.5416666666667"
"Austria","Adults","barley","8","1","56"
"Austria","Adults","beef","9","32","75.328125"
"Austria","Adults","pepper","10","66","48.5575757575758"
"Austria","Adults","blueberries","11","4","59.75"
"Austria","Adults","broccoli","12","10","58.225"
"Austria","Adults","chicken","13","72","81.0767361111111"
"Austria","Adults","butter","15","156","15.6498397435897"
"Austria","Adults","cabbage","16","36","57"
"Austria","Adults","carrot","18","45","51.4111111111111"
"Austria","Adults","cauliflower","19","6","76.8333333333333"
"Austria","Adults","celery","20","2","70.25"
"Austria","Adults","cheese","21","353","31.0804532577904"
"Austria","Adults","cocoa","22","56","15.1732142857143"
"Austria","Adults","corn","25","22","28.8181818181818"
"Austria","Adults","cranberries","27","3","21.5"
"Austria","Adults","cucumber","28","40","54.6375"
"Austria","Adults","beans","29","33","61.3030303030303"
"Austria","Adults","egg","31","73","41.2397260273973"
"Austria","Adults","figs","32","2","13.025"
"Austria","Adults","fish","33","34","61.8323529411765"
"Austria","Adults","garlic","35","8","2.3125"
"Austria","Adults","grapefruit","36","3","159.666666666667"
"Austria","Adults","hazelnuts","37","2","37.5"
"Austria","Adults","honey","38","47","9.44148936170213"
"Austria","Adults","kiwi","41","29","51.7241379310345"
"Austria","Adults","lamb","42","3","79.3333333333333"
"Austria","Adults","lettuce","44","13","23.6153846153846"
"Austria","Adults","milk","47","448","78.0165178571429"
"Austria","Adults","olive oil","50","15","8.265"
"Austria","Adults","olives","51","15","8.8"
"Austria","Adults","onion","52","24","22.2291666666667"
"Austria","Adults","orange","53","83","159.129518072289"
"Austria","Adults","papaya","55","1","75"
"Austria","Adults","peach","56","27","78.0185185185185"
"Austria","Adults","pear","58","23","101.673913043478"
"Austria","Adults","pig","61","53","98.5849056603774"
"Austria","Adults","pineapple","62","6","124.75"
"Austria","Adults","pistachio","63","2","15.875"
"Austria","Adults","plum","64","16","130.3125"
"Austria","Adults","pork","65","152","50.6809210526316"
"Austria","Adults","potato","66","173","81.2933526011561"
"Austria","Adults","raspberries","68","6","23.8333333333333"
"Austria","Adults","sugar","69","72","7.41319444444444"
"Austria","Adults","coffee","70","242","291.462809917355"
"Austria","Adults","peas","71","9","34.6111111111111"
"Austria","Adults","spinach","75","7","70.5714285714286"
"Austria","Adults","strawberries","76","8","42.5"
"Austria","Adults","sweet corn","79","10","39.3"
"Austria","Adults","grape","81","31","116.806451612903"
"Austria","Adults","tomato","83","118","51.0580508474576"
"Austria","Adults","turkey","84","33","85.3030303030303"
"Austria","Adults","walnuts","85","11","13.9772727272727"
"Austria","Adults","watermelon","86","4","66.5"
"Austria","Adults","wheat","87","324","82.0604938271605"
"Austria","Adults","rice","89","106","74.2150943396226"
"Austria","Elderly","banana","1","16","104.296875"
"Austria","Elderly","apple","3","53","93.5990566037736"
"Austria","Elderly","beef","9","7","62.1428571428571"
"Austria","Elderly","pepper","10","11","45.2295454545455"
"Austria","Elderly","blueberries","11","1","20"
"Austria","Elderly","broccoli","12","4","157.75"
"Austria","Elderly","chicken","13","19","69.6315789473684"
"Austria","Elderly","butter","15","41","17.3780487804878"
"Austria","Elderly","cabbage","16","8","82.3125"
"Austria","Elderly","carrot","18","5","69.5"
"Austria","Elderly","cauliflower","19","2","65.5"
"Austria","Elderly","cheese","21","59","25.2118644067797"
"Austria","Elderly","cocoa","22","4","9.575"
"Austria","Elderly","cucumber","28","5","53.8"
"Austria","Elderly","beans","29","10","79.25"
"Austria","Elderly","egg","31","13","43.8846153846154"
"Austria","Elderly","figs","32","2","20"
"Austria","Elderly","fish","33","10","108.8"
"Austria","Elderly","grapefruit","36","1","500"
"Austria","Elderly","hazelnuts","37","1","10"
"Austria","Elderly","honey","38","14","11.5714285714286"
"Austria","Elderly","kiwi","41","3","33.3333333333333"
"Austria","Elderly","lamb","42","1","86"
"Austria","Elderly","lard","43","4","12.75"
"Austria","Elderly","lettuce","44","1","45"
"Austria","Elderly","milk","47","88","80.3840909090909"
"Austria","Elderly","olive oil","50","1","5"
"Austria","Elderly","olives","51","3","4.66666666666667"
"Austria","Elderly","onion","52","2","15"
